model,scheme,bin,n,median_gt_px,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
distill_p3_adaptive_boundary,decile,D3,19,6686.0,0.7416450480695864,0.7323576863652701,0.6893828834630401,0.8059178610684707,0,0.0,0
distill_p3_adaptive_boundary,decile,D4,18,8665.5,0.8229327256952149,0.8124021876947771,0.7601353811920714,0.8853154263188991,0,0.0,0
distill_p3_adaptive_boundary,decile,D5,19,10622.0,0.7846718951652933,0.7600138527565597,0.7054722279728164,0.874021686315008,0,0.0,0
distill_p3_adaptive_boundary,decile,D6,18,11957.5,0.8740448931114279,0.7980120333569735,0.7441647540720566,0.9110649681838774,0,0.0,0
distill_p3_adaptive_boundary,decile,D7,18,13841.0,0.8114461674073468,0.7444921014570449,0.6930006218881233,0.8749033608366215,0,0.0,0
distill_p3_adaptive_boundary,decile,D8,19,15506.0,0.859434360489658,0.7967462698235516,0.7417538481254718,0.9001343122634543,0,0.0,0
distill_p3_adaptive_boundary,decile,D9,18,19152.0,0.8352589551005216,0.8157818262241953,0.7844174713335904,0.8777580682113231,0,0.0,0
distill_p3_adaptive_full,quintile,Q1,37,4884.0,0.7868208596988872,0.7068971827622971,0.6876159144592472,0.8133784805315216,3,0.08108108108108109,2
distill_p3_adaptive_full,quintile,Q2,37,7671.0,0.7869160947531547,0.7570164576324897,0.6893673235080808,0.8620590324347432,0,0.0,0
distill_p3_adaptive_full,quintile,Q3,37,11324.0,0.8008489993935719,0.7617551431687297,0.700631896859065,0.8880816693588932,0,0.0,0
distill_p3_adaptive_full,quintile,Q4,37,14382.0,0.7913689936536719,0.7622055624610508,0.715892296005675,0.8659528166709923,0,0.0,0
distill_p3_adaptive_full,quintile,Q5,37,21744.0,0.8105154904229336,0.7697511137621998,0.7043283039708357,0.9001714754835214,0,0.0,0
distill_p3_adaptive_full,absolute,10-20k,81,13751.0,0.7990787367763594,0.7643127713148419,0.7157083618778318,0.8714575457303492,0,0.0,0
distill_p3_adaptive_full,absolute,2-5k,17,4132.0,0.8295426754707752,0.7275804836416901,0.717169277408195,0.8108357390437374,1,0.058823529411764705,1
distill_p3_adaptive_full,absolute,5-10k,58,6750.0,0.7867163000863128,0.7615107820889423,0.7043155931276693,0.8618244355963302,0,0.0,0
distill_p3_adaptive_full,absolute,<2k,2,986.0,0.0,0.0,0.0,0.5,2,1.0,1
distill_p3_adaptive_full,absolute,>20k,27,23968.0,0.8058062615495862,0.7624560723163258,0.6816801021577382,0.9199526860466257,0,0.0,0
distill_p3_adaptive_full,decile,D1,19,4071.0,0.8261655222262378,0.650993064310986,0.6416777745231217,0.7781161875654493,3,0.15789473684210525,2
distill_p3_adaptive_full,decile,D10,19,31415.0,0.7952385783368842,0.7319381949280336,0.634080976143435,0.9238084432306849,0,0.0,0
distill_p3_adaptive_full,decile,D2,18,5445.5,0.7847233980431325,0.7659070855720143,0.7361061732807131,0.8505997897734863,0,0.0,0
distill_p3_adaptive_full,decile,D3,19,6686.0,0.7446338662662308,0.7093209115605951,0.6312620608382801,0.8396346372504745,0,0.0,0
distill_p3_adaptive_full,decile,D4,18,8665.5,0.8065671675374196,0.807361756263934,0.7507006563262039,0.8857292273514712,0,0.0,0
distill_p3_adaptive_full,decile,D5,19,10622.0,0.7799778235387296,0.7376182108761269,0.6731354370751366,0.8717616619373763,0,0.0,0
distill_p3_adaptive_full,decile,D6,18,11957.5,0.8546736203478416,0.787233016144255,0.7296559377421005,0.9053083438593839,0,0.0,0
distill_p3_adaptive_full,decile,D7,18,13841.0,0.7742995822570014,0.7625181337533475,0.7107208606415312,0.8704991167978131,0,0.0,0
distill_p3_adaptive_full,decile,D8,19,15506.0,0.7913689936536719,0.7619094422894012,0.7207915505611799,0.8616457954982149,0,0.0,0
distill_p3_adaptive_full,decile,D9,18,19152.0,0.8617373314493443,0.8096647503093757,0.778478261121981,0.8752213428615155,0,0.0,0
distill_p3_adaptive_group,quintile,Q1,37,4884.0,0.8278001148765077,0.7449307018133878,0.7677602280628769,0.7785568030250879,2,0.05405405405405406,1
distill_p3_adaptive_group,quintile,Q2,37,7671.0,0.7786648313833449,0.7697892249185043,0.7182550776703335,0.847082570393367,0,0.0,0
distill_p3_adaptive_group,quintile,Q3,37,11324.0,0.8124351199256953,0.7679992281905761,0.7037920876012463,0.8814199271815047,0,0.0,0
distill_p3_adaptive_group,quintile,Q4,37,14382.0,0.8066649614499214,0.7646636449349413,0.7039173462562928,0.887665498315809,0,0.0,0
distill_p3_adaptive_group,quintile,Q5,37,21744.0,0.7455050512030293,0.7455378819064616,0.6558721874917695,0.901969427095546,0,0.0,0
distill_p3_adaptive_group,absolute,10-20k,81,13751.0,0.8029189833200953,0.7629039891661317,0.7010119733838636,0.8815762265139859,0,0.0,0
distill_p3_adaptive_group,absolute,2-5k,17,4132.0,0.8260823089257082,0.7819658061110387,0.82568753112976,0.7672369030133288,0,0.0,0
distill_p3_adaptive_group,absolute,5-10k,58,6750.0,0.8136045933616689,0.7805402170893919,0.7464105538395005,0.8423421056301087,0,0.0,0
distill_p3_adaptive_group,absolute,<2k,2,986.0,0.0,0.0,0.0,0.5,2,1.0,1
distill_p3_adaptive_group,absolute,>20k,27,23968.0,0.7455050512030293,0.7399292891753397,0.6379487520764188,0.9137460198893668,0,0.0,0
distill_p3_adaptive_group,decile,D1,19,4071.0,0.8139562112164852,0.6996536159940874,0.7387730541687327,0.7391067026961364,2,0.10526315789473684,1
distill_p3_adaptive_group,decile,D10,19,31415.0,0.6382028493591175,0.700243076745219,0.5909651003635613,0.898045898556215,0,0.0,0
distill_p3_adaptive_group,decile,D2,18,5445.5,0.8333906897712702,0.7927231812893161,0.798357800506696,0.8201985755945368,0,0.0,0
distill_p3_adaptive_group,decile,D3,19,6686.0,0.7780803829330692,0.7388874145169225,0.6967898949633017,0.8068315220803544,0,0.0,0
distill_p3_adaptive_group,decile,D4,18,8665.5,0.779797171307261,0.8024078025646185,0.740912770527756,0.8895697880571025,0,0.0,0
distill_p3_adaptive_group,decile,D5,19,10622.0,0.789349953529058,0.7588340684886504,0.7052627314290981,0.8695671024824062,0,0.0,0
distill_p3_adaptive_group,decile,D6,18,11957.5,0.8269341640309746,0.7776735634314978,0.702239741338514,0.8939312421416646,0,0.0,0
distill_p3_adaptive_group,decile,D7,18,13841.0,0.7990475357177645,0.7353051278035645,0.6805693049516981,0.8695839019357714,0,0.0,0
distill_p3_adaptive_group,decile,D8,19,15506.0,0.8617797794688616,0.7924769769541404,0.7260365432816981,0.9047954317284764,0,0.0,0
distill_p3_adaptive_group,decile,D9,18,19152.0,0.8072287741620716,0.7933490651322175,0.724385223904878,0.9061109294426176,0,0.0,0
distill_p3_adaptive_hard,quintile,Q1,37,4884.0,0.8256331124625579,0.7084239939716037,0.7482806216146061,0.7174646567920596,1,0.02702702702702703,0
distill_p3_adaptive_hard,quintile,Q2,37,7671.0,0.7836113549897571,0.7407786501239482,0.7043419136736023,0.8024226535956527,0,0.0,0
distill_p3_adaptive_hard,quintile,Q3,37,11324.0,0.8456695917588707,0.7835407840591659,0.7319719362013312,0.8760692216360471,0,0.0,0
distill_p3_adaptive_hard,quintile,Q4,37,14382.0,0.816637810206942,0.7515826262152568,0.6974344617814333,0.8626282624757876,0,0.0,0
distill_p3_adaptive_hard,quintile,Q5,37,21744.0,0.7388474528567408,0.722900257095541,0.6467845834337337,0.8660105302198402,0,0.0,0
distill_p3_adaptive_hard,absolute,10-20k,81,13751.0,0.8183539369640271,0.761331846277157,0.711321535562852,0.8590590641823356,0,0.0,0
distill_p3_adaptive_hard,absolute,2-5k,17,4132.0,0.852670675627874,0.7260206137136517,0.7820344501999115,0.7048771142868577,0,0.0,0
distill_p3_adaptive_hard,absolute,5-10k,58,6750.0,0.8155100538677102,0.7503720201273257,0.7357738463970258,0.7923999823476559,0,0.0,0
