model,stratum,skin_tone_category,n_subjects,g_n,g_mean_dice,g_median_dice,g_iqr_dice,g_mean_recall,g_mean_precision,g_zero_dice_n,g_zero_dice_rate,g_empty_pred_n,g_wrong_place_n
dinov2_probe,D5_D10,Dark (VI),7,15,0.7012662137604626,0.699643462909758,0.13946426128874556,0.7984768765585378,0.6750616976314514,0,0.0,0,0
distill_expA_b5_to_b0_response,all,Light (II-III),9,39,0.757668234008697,0.8030634573304157,0.18881353145644209,0.7080919141532134,0.8448402817613803,1,0.02564102564102564,0,1
distill_expA_b5_to_b0_response,all,Intermediate (III-IV),17,38,0.8195792370756095,0.8403463378251164,0.09783681105664321,0.765089951631445,0.910877131964925,0,0.0,0,0
distill_expA_b5_to_b0_response,all,Tan (IV),15,24,0.7194900538375197,0.7586841492902743,0.2712702482920135,0.6693656411620333,0.8526167047073243,0,0.0,0,0
distill_expA_b5_to_b0_response,all,Brown (V),12,29,0.7954475458259411,0.7944611277944611,0.12516207945407676,0.7359649635372283,0.8908460001860137,0,0.0,0,0
distill_expA_b5_to_b0_response,all,Dark (VI),15,55,0.7474145364492281,0.7923378319547235,0.20165107626835477,0.6866542788122392,0.8606992001512124,0,0.0,0,0
distill_expA_b5_to_b0_response,D1_D4,Light (II-III),7,23,0.7081042433843002,0.7879475542107918,0.24136602411669594,0.6750408694124269,0.7810143764937498,1,0.043478260869565216,0,1
distill_expA_b5_to_b0_response,D1_D4,Intermediate (III-IV),10,13,0.8272382963530525,0.8358716660224198,0.10381752051093407,0.8341047525871204,0.8309304970211322,0,0.0,0,0
distill_expA_b5_to_b0_response,D1_D4,Tan (IV),4,8,0.7152035384929835,0.7586841492902743,0.19567349259968447,0.6804553563595576,0.7844648313611144,0,0.0,0,0
distill_expA_b5_to_b0_response,D1_D4,Brown (V),3,12,0.7737383478874625,0.7719703104545335,0.06277249196092893,0.7111458248419086,0.873923072854172,0,0.0,0,0
distill_expA_b5_to_b0_response,D1_D4,Dark (VI),8,18,0.7765044957200131,0.8500453106149791,0.19123710034392105,0.7545511062268736,0.8330830870235891,0,0.0,0,0
distill_expA_b5_to_b0_response,D5_D10,Light (II-III),6,16,0.828916470531267,0.8627068064232324,0.15474977985899419,0.7556027909680938,0.9365900205835989,0,0.0,0,0
distill_expA_b5_to_b0_response,D5_D10,Intermediate (III-IV),11,25,0.8155965262513394,0.8409767233296646,0.07989468269377054,0.7292022551344941,0.9524493821356975,0,0.0,0,0
distill_expA_b5_to_b0_response,D5_D10,Tan (IV),13,16,0.7216333115097879,0.765874020959021,0.27879849642062726,0.6638207835632715,0.8866926413804292,0,0.0,0,0
distill_expA_b5_to_b0_response,D5_D10,Brown (V),10,17,0.8107716855472202,0.8083076617310941,0.11337596834648656,0.7534843555574537,0.9027915959496663,0,0.0,0,0
distill_expA_b5_to_b0_response,D5_D10,Dark (VI),12,37,0.7332626643715489,0.7595626194057152,0.16252727488524432,0.6536233897997146,0.8741340659970834,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,all,Light (II-III),9,39,0.7295339488289126,0.7998052817329926,0.23279021157345814,0.7127827196941766,0.8051662972701442,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,all,Intermediate (III-IV),17,38,0.8243187964284967,0.8349734225839878,0.10355893147531359,0.7977527798039015,0.8751331984571987,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,all,Tan (IV),15,24,0.7007707622981835,0.7555745926719077,0.28574256328789494,0.6556968113184949,0.8356405572661014,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,all,Brown (V),12,29,0.7717476491829944,0.8172867343104097,0.12569088807894535,0.7315154745956147,0.8926230981676401,1,0.034482758620689655,1,0
distill_p2_bpkd_b5_to_b0,all,Dark (VI),15,55,0.7740774937350602,0.8089683381305863,0.16938698521866902,0.7387967607390991,0.8552411821405586,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D1_D4,Light (II-III),7,23,0.701001374764657,0.7701074990286232,0.18063438986945046,0.7057319862852426,0.7403400068860391,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D1_D4,Intermediate (III-IV),10,13,0.7932745900997898,0.8149571007811499,0.0914875090724887,0.8148781678496202,0.8002431942690212,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D1_D4,Tan (IV),4,8,0.7038991087177923,0.7473380872896178,0.12655910802045667,0.6419413885794725,0.8168991206373123,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D1_D4,Brown (V),3,12,0.7329157308643622,0.7944682043987867,0.13134072958718757,0.6646420040246616,0.9311683201352089,1,0.08333333333333333,1,0
distill_p2_bpkd_b5_to_b0,D1_D4,Dark (VI),8,18,0.8068656433498232,0.857464028467152,0.136432505383828,0.7757017385690244,0.882121720321247,0,0.0,0,0
