model,bin,median_gt_px,s_n,s_mean_dice,s_median_dice,s_iqr_dice,s_mean_recall,s_mean_precision,s_zero_dice_n,s_zero_dice_rate,s_empty_pred_n,s_wrong_place_n
dinov2_g28,D6,10388.0,13,0.6291486486936452,0.6436433972217338,0.17029549057589388,0.7040230573191762,0.6182702517445618,0,0.0,0,0
dinov2_g28,D7,12305.5,14,0.6561431474753432,0.7583455986017107,0.12510332745237962,0.6863747084194051,0.7020098888667722,1,0.07142857142857142,0,1
dinov2_g28,D8,15677.0,13,0.7152584909478618,0.7243396417366663,0.20638840786118395,0.8322405941206974,0.6722868403091871,0,0.0,0,0
dinov2_g28,D9,22504.0,13,0.7987187202677185,0.8515366686541276,0.07126472057889122,0.815283345679108,0.8415399626278044,0,0.0,0,0
dinov2_g28,D10,38879.0,14,0.7909674664218157,0.8353319788673323,0.04390871633324578,0.6949282461541074,0.9587512055382614,0,0.0,0,0
dinov2_probe,D1,4317.5,14,0.5007303915676607,0.5714413810909199,0.2050613508414728,0.8831652099712556,0.3708485092969211,2,0.14285714285714285,0,2
dinov2_probe,D2,5916.0,13,0.6058073589927498,0.597117608682759,0.15923870030502663,0.9286764012512817,0.4658663852563781,0,0.0,0,0
dinov2_probe,D3,6914.0,13,0.6560361740891794,0.6302652106084243,0.3343156960524496,0.9539651216218584,0.5300149330061035,0,0.0,0,0
dinov2_probe,D4,7402.0,14,0.5335322716585745,0.48040025997045555,0.20524500056665285,0.7626373519990922,0.45193113275295077,0,0.0,0,0
dinov2_probe,D5,8686.0,13,0.6384451563373633,0.7111147784470666,0.40746624154777145,0.7829990277998357,0.5454311030117426,0,0.0,0,0
dinov2_probe,D6,10388.0,13,0.626743896117951,0.6088802048241477,0.1138372902704412,0.7973528901754268,0.5424040033144094,0,0.0,0,0
dinov2_probe,D7,12305.5,14,0.6521656567491734,0.7575952622184576,0.13026639062254475,0.7434522498379128,0.6306854152610374,0,0.0,0,0
dinov2_probe,D8,15677.0,13,0.7025258124947632,0.6547630089973101,0.17621080812710566,0.8967021419620708,0.6067677985323262,0,0.0,0,0
dinov2_probe,D9,22504.0,13,0.8111673351014783,0.8607362487188247,0.05922233154359058,0.8577145686891199,0.8151484503221499,0,0.0,0,0
dinov2_probe,D10,38879.0,14,0.8474288598221398,0.8687638497739549,0.025551209334455427,0.7869257892008852,0.9338076247131701,0,0.0,0,0
distill_expA_b5_to_b0_response,D1,4071.0,19,0.7087819310789769,0.7879475542107918,0.1783658004155807,0.6933664294901829,0.7639717851522653,1,0.05263157894736842,0,1
distill_expA_b5_to_b0_response,D2,5445.5,18,0.7959094778780135,0.7991866700387422,0.15200364652170661,0.77869417451978,0.8588732635747852,0,0.0,0,0
distill_expA_b5_to_b0_response,D3,6686.0,19,0.7291975401111827,0.7714538484222944,0.20115607868831686,0.6893763135662079,0.7876781094014418,0,0.0,0,0
distill_expA_b5_to_b0_response,D4,8665.5,18,0.7986713500869427,0.828003139891118,0.14103928804622312,0.7577781767641116,0.865702859518221,0,0.0,0,0
distill_expA_b5_to_b0_response,D5,10622.0,19,0.7595611480899093,0.8082868861078978,0.14221672016156428,0.7030757259882857,0.8940180882906744,0,0.0,0,0
distill_expA_b5_to_b0_response,D6,11957.5,18,0.7874024180034815,0.8211315784778999,0.11505040779145559,0.7237079169897904,0.898251306742406,0,0.0,0,0
distill_expA_b5_to_b0_response,D7,13841.0,18,0.7635643103740712,0.8048411700498235,0.15056604541027852,0.6783720749132791,0.9063925719361259,0,0.0,0,0
distill_expA_b5_to_b0_response,D8,15506.0,19,0.8003742357976832,0.860921181155609,0.1507663826855008,0.7410321306031303,0.906295881709648,0,0.0,0,0
distill_expA_b5_to_b0_response,D9,19152.0,18,0.8246590952431153,0.8441358502591987,0.13018943146699014,0.75203114523969,0.9240587405785889,0,0.0,0,0
distill_expA_b5_to_b0_response,D10,31415.0,19,0.7217110413660066,0.6984597584785596,0.2639856104595244,0.616951752322304,0.9132401126957368,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D1,4071.0,19,0.7197036991813173,0.7716496744871637,0.14615518370998104,0.7329027039480264,0.7607898557805723,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D2,5445.5,18,0.7616913742347565,0.7847427117584325,0.11588996935954088,0.7560256961057783,0.8123253418198627,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D3,6686.0,19,0.7161714370959299,0.8149571007811499,0.20125404109270395,0.6882877425159258,0.8278529055237408,1,0.05263157894736842,1,0
distill_p2_bpkd_b5_to_b0,D4,8665.5,18,0.799627343655698,0.8072908977893964,0.16063216843704342,0.7382242947255946,0.9006842688244527,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D5,10622.0,19,0.7447075831212068,0.8121897116298722,0.23052124656364326,0.7360524130342315,0.853468125668796,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D6,11957.5,18,0.7876256221559017,0.8519596977675392,0.12406411338355072,0.7365367992857036,0.9155935111688035,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D7,13841.0,18,0.7329200141098985,0.7826701108144785,0.23517399984996568,0.7052465504021173,0.7962698439438578,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D8,15506.0,19,0.8136099051963036,0.8571907850592708,0.13479450697484496,0.7742495158582167,0.8898204238924087,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D9,19152.0,18,0.8236422156519289,0.8447305002764602,0.08887780704927928,0.7993610874655945,0.864563787323398,0,0.0,0,0
distill_p2_bpkd_b5_to_b0,D10,31415.0,19,0.7558211800870688,0.7753305108958208,0.13811645555450558,0.6716932074047627,0.9010367848419109,0,0.0,0,0
distill_p2_cwd_b5_to_b0,D1,4071.0,19,0.6858286479642148,0.8289490568458874,0.17839535186709232,0.7165982540714001,0.721095500092144,3,0.15789473684210525,1,2
distill_p2_cwd_b5_to_b0,D2,5445.5,18,0.8250885363538193,0.8669851319271848,0.11287503321267456,0.8301950718461352,0.8475904022605578,0,0.0,0,0
