model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
lraspp_mobilenetv3_rgkd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_rgkd,Brown (V),12,29,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,Light (II-III),9,39,2,2,0,0.05128205128205128,0.05128205128205128,0.0
ppmobileseg_tiny_distilled,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_distilled,Brown (V),12,29,2,1,1,0.06896551724137931,0.034482758620689655,0.034482758620689655
ppmobileseg_tiny_rgkd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_rgkd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_rgkd,Light (II-III),9,39,5,4,1,0.1282051282051282,0.10256410256410256,0.02564102564102564
ppmobileseg_tiny_rgkd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_rgkd,Brown (V),12,29,2,1,1,0.06896551724137931,0.034482758620689655,0.034482758620689655
topformer_tiny_distilled,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
topformer_tiny_distilled,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
topformer_tiny_distilled,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
topformer_tiny_distilled,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
topformer_tiny_distilled,Brown (V),12,29,0,0,0,0.0,0.0,0.0
topformer_tiny_rgkd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
topformer_tiny_rgkd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
topformer_tiny_rgkd,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
topformer_tiny_rgkd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
topformer_tiny_rgkd,Brown (V),12,29,0,0,0,0.0,0.0,0.0
