model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
lraspp_mobilenetv3_distilled,D5_D10,Brown (V),mean_recall,17,10,0.801266332269688,14259.0,0.7026770629346388,0.8591038622404975
lraspp_mobilenetv3_distilled,D5_D10,Dark (VI),mean_recall,37,12,0.7321594233055477,16533.0,0.6720432771158951,0.7878627240437706
topformer_tiny,all,Light (II-III),mean_recall,39,9,0.6552386373977016,8085.0,0.485055914851541,0.7642642799999755
topformer_tiny,all,Intermediate (III-IV),mean_recall,38,17,0.7051396519964989,12117.5,0.6170673892662469,0.7846366676256702
topformer_tiny,all,Tan (IV),mean_recall,24,15,0.6889661942963216,13550.0,0.6174402260788036,0.7638731258482294
topformer_tiny,all,Brown (V),mean_recall,29,12,0.750892791705851,10961.0,0.6319870005952594,0.8441092934220988
topformer_tiny,all,Dark (VI),mean_recall,55,15,0.6800823059861434,13751.0,0.5850445381020487,0.7731167478707691
topformer_tiny,D1_D4,Light (II-III),mean_recall,23,7,0.6603867228988429,5185.0,0.3731763505523821,0.8012446326718577
topformer_tiny,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.716489474989287,6059.0,0.5250027197705031,0.889348494993188
topformer_tiny,D1_D4,Tan (IV),mean_recall,8,4,0.7074139383972249,5837.5,,
topformer_tiny,D1_D4,Brown (V),mean_recall,12,3,0.6762735483375648,5963.0,,
topformer_tiny,D1_D4,Dark (VI),mean_recall,18,8,0.7818240474077317,7516.5,0.6678967909153665,0.873588199916515
topformer_tiny,D5_D10,Light (II-III),mean_recall,16,6,0.6478382644898111,11510.5,0.6059617847015659,0.7522860795744505
topformer_tiny,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.699237744040249,14122.0,0.6070714113777395,0.7687499558847436
topformer_tiny,D5_D10,Tan (IV),mean_recall,16,13,0.6797423222458698,16700.0,0.5649978177539816,0.7913184706338945
topformer_tiny,D5_D10,Brown (V),mean_recall,17,10,0.803565198789347,14259.0,0.7044401220095305,0.8807918288476327
topformer_tiny,D5_D10,Dark (VI),mean_recall,37,12,0.6305863236729384,16533.0,0.5190121705204508,0.7439088238299532
topformer_tiny_b2kd,all,Light (II-III),mean_recall,39,9,0.6894835950969603,8085.0,0.5970516140422838,0.7520349360284747
topformer_tiny_b2kd,all,Intermediate (III-IV),mean_recall,38,17,0.7050954744485707,12117.5,0.6382888563645526,0.7688019056917782
topformer_tiny_b2kd,all,Tan (IV),mean_recall,24,15,0.6789355222511627,13550.0,0.591085448312248,0.7709148904540467
topformer_tiny_b2kd,all,Brown (V),mean_recall,29,12,0.7816217506404435,10961.0,0.7161381556441877,0.8282037329092145
topformer_tiny_b2kd,all,Dark (VI),mean_recall,55,15,0.6782959926968803,13751.0,0.5885799969207485,0.7539506475751867
topformer_tiny_b2kd,D1_D4,Light (II-III),mean_recall,23,7,0.7079074778981784,5185.0,0.5341868981412121,0.7938297390039677
topformer_tiny_b2kd,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.7555792400817095,6059.0,0.5956477482420771,0.8970887488298891
topformer_tiny_b2kd,D1_D4,Tan (IV),mean_recall,8,4,0.6946537839715465,5837.5,,
topformer_tiny_b2kd,D1_D4,Brown (V),mean_recall,12,3,0.760813471003771,5963.0,,
topformer_tiny_b2kd,D1_D4,Dark (VI),mean_recall,18,8,0.7391398480245736,7516.5,0.6270046262436607,0.8440304991407069
topformer_tiny_b2kd,D5_D10,Light (II-III),mean_recall,16,6,0.6629992635702091,11510.5,0.6150626283968738,0.717938588949461
topformer_tiny_b2kd,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.6788439163193384,14122.0,0.6054334850196637,0.7280598392204952
topformer_tiny_b2kd,D5_D10,Tan (IV),mean_recall,16,13,0.6710763913909708,16700.0,0.5309749777606039,0.8065244213427749
topformer_tiny_b2kd,D5_D10,Brown (V),mean_recall,17,10,0.7963099480310357,14259.0,0.715494348015836,0.8498066301426994
topformer_tiny_b2kd,D5_D10,Dark (VI),mean_recall,37,12,0.6486962792942188,16533.0,0.5394241500196394,0.7461247508315337
ppmobileseg_tiny,all,Light (II-III),mean_recall,39,9,0.5629294025528472,8085.0,0.41787057849796727,0.6915760302360906
ppmobileseg_tiny,all,Intermediate (III-IV),mean_recall,38,17,0.6535796496731243,12117.5,0.5193648342307969,0.7743501667494334
ppmobileseg_tiny,all,Tan (IV),mean_recall,24,15,0.5129592880015849,13550.0,0.40644628402829597,0.6427628206314121
ppmobileseg_tiny,all,Brown (V),mean_recall,29,12,0.6961430187545233,10961.0,0.6030796839513011,0.7708692636806244
ppmobileseg_tiny,all,Dark (VI),mean_recall,55,15,0.6044009954571498,13751.0,0.5180524896823683,0.6944933706096492
ppmobileseg_tiny,D1_D4,Light (II-III),mean_recall,23,7,0.5416731779335172,5185.0,0.32006479329662957,0.682620429524192
ppmobileseg_tiny,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.663654598093854,6059.0,0.45991283461799615,0.8131622797413586
