model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
fastscnn,D10,10,19,0,0,0,0.0,0.0,0.0
fastscnn,D5,12,19,0,0,0,0.0,0.0,0.0
fastscnn,D3,9,19,2,1,1,0.10526315789473684,0.05263157894736842,0.05263157894736842
fastscnn,D2,8,18,0,0,0,0.0,0.0,0.0
fastscnn,D8,8,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
fastscnn,D1,7,19,3,2,1,0.15789473684210525,0.10526315789473684,0.05263157894736842
fastscnn_b2kd,D7,11,18,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D4,13,18,2,2,0,0.1111111111111111,0.1111111111111111,0.0
fastscnn_b2kd,D9,10,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
fastscnn_b2kd,D6,13,18,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D10,10,19,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D5,12,19,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D3,9,19,2,0,2,0.10526315789473684,0.0,0.10526315789473684
fastscnn_b2kd,D2,8,18,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D8,8,19,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
p3_adaptive,D7,11,18,0,0,0,0.0,0.0,0.0
p3_adaptive,D4,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive,D9,10,18,0,0,0,0.0,0.0,0.0
p3_adaptive,D6,13,18,1,0,1,0.05555555555555555,0.0,0.05555555555555555
p3_adaptive,D10,10,19,0,0,0,0.0,0.0,0.0
p3_adaptive,D5,12,19,0,0,0,0.0,0.0,0.0
p3_adaptive,D3,9,19,0,0,0,0.0,0.0,0.0
p3_adaptive,D2,8,18,0,0,0,0.0,0.0,0.0
p3_adaptive,D8,8,19,0,0,0,0.0,0.0,0.0
p3_adaptive,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
p3_adaptive_boundary,D7,11,18,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D4,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D9,10,18,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D6,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D10,10,19,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D5,12,19,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D3,9,19,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D2,8,18,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D8,8,19,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
p3_adaptive_group,D7,11,18,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D4,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D9,10,18,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D6,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D10,10,19,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D5,12,19,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D3,9,19,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D2,8,18,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D8,8,19,0,0,0,0.0,0.0,0.0
p3_adaptive_group,D1,7,19,2,1,1,0.10526315789473684,0.05263157894736842,0.05263157894736842
p3_adaptive_full,D7,11,18,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D4,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D9,10,18,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D6,13,18,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D10,10,19,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D5,12,19,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D3,9,19,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D2,8,18,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D8,8,19,0,0,0,0.0,0.0,0.0
p3_adaptive_full,D1,7,19,3,2,1,0.15789473684210525,0.10526315789473684,0.05263157894736842
p3_adaptive_hard,D7,11,18,0,0,0,0.0,0.0,0.0
p3_adaptive_hard,D4,13,18,0,0,0,0.0,0.0,0.0
