model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
unet_r50,D10,31415.0,19,0.7654557512342495,0.7578762067889899,0.7099377418238451,0.8574667825306981,0,0.0,0
deeplabv3plus_r50,D1,4071.0,19,0.7982905982905983,0.6923365797552394,0.7023106160547826,0.8202350142284943,3,0.15789473684210525,2
deeplabv3plus_r50,D2,5445.5,18,0.8446750706629977,0.8149317774443623,0.75988297599965,0.9292422772369962,0,0.0,0
deeplabv3plus_r50,D3,6686.0,19,0.8059419055729019,0.6757651164862872,0.6193570606150544,0.8864681743250785,1,0.05263157894736842,1
deeplabv3plus_r50,D4,8665.5,18,0.8356302267393132,0.7455371179153203,0.6792913278214092,0.9074076938567003,1,0.05555555555555555,1
deeplabv3plus_r50,D5,10622.0,19,0.7812343703110933,0.7367201653422105,0.6688460441767891,0.9065096433119141,0,0.0,0
deeplabv3plus_r50,D6,11957.5,18,0.8298145330668611,0.8249345201806972,0.7569872601304962,0.9351120924800926,0,0.0,0
deeplabv3plus_r50,D7,13841.0,18,0.7737005345622233,0.7712928601807655,0.7135360505723854,0.8738856335869157,0,0.0,0
deeplabv3plus_r50,D8,15506.0,19,0.8798278400724884,0.8089238988750052,0.7764385431343311,0.8871313795667377,0,0.0,0
deeplabv3plus_r50,D9,19152.0,18,0.8280443841296582,0.7972810331955116,0.7734861330505417,0.861038986418023,0,0.0,0
deeplabv3plus_r50,D10,31415.0,19,0.6675275003677612,0.7245767015559763,0.6505833683818077,0.8602620389879783,0,0.0,0
yolo_sem_direct,D1,4071.0,19,0.6806380982170785,0.4946588308981946,0.4720019492852875,0.9049962088373683,6,0.3157894736842105,6
yolo_sem_direct,D2,5445.5,18,0.7347404210594591,0.677503311659277,0.6491909190654157,0.8680283105279964,2,0.1111111111111111,2
yolo_sem_direct,D3,6686.0,19,0.7866908252347224,0.6363080329079501,0.627654891745498,0.8339253283527246,2,0.10526315789473684,2
